plot_ID,site_ID,management,species_group,species_cover
ENV08_1,ENV08,irregular_mowing,exp,4.5
ENV08_1,ENV08,irregular_mowing,inv,0.5
ENV08_1,ENV08,irregular_mowing,woody,1.05
ENV08_1,ENV08,irregular_mowing,other,2
ENV08_1,ENV08,irregular_mowing,all,87.6
ENV08_2,ENV08,regular_mowing,endg,41.5
ENV08_2,ENV08,regular_mowing,charact,74.5
ENV08_2,ENV08,regular_mowing,exp,4.05
ENV08_2,ENV08,regular_mowing,inv,0.5
ENV08_2,ENV08,regular_mowing,woody,0.55
ENV08_2,ENV08,regular_mowing,other,3
ENV08_2,ENV08,regular_mowing,all,80.55
ENV08_3,ENV08,irregular_mowing,endg,60.32
ENV08_3,ENV08,irregular_mowing,charact,63.61
ENV08_3,ENV08,irregular_mowing,exp,0.02
ENV08_3,ENV08,irregular_mowing,inv,1
ENV08_3,ENV08,irregular_mowing,woody,0.02
ENV08_3,ENV08,irregular_mowing,other,7.33
ENV08_3,ENV08,irregular_mowing,all,92.97
ENV10_1,ENV10,abandoned,endg,1
ENV10_1,ENV10,abandoned,charact,4.55
ENV10_1,ENV10,abandoned,exp,44
ENV10_1,ENV10,abandoned,inv,20
ENV10_1,ENV10,abandoned,woody,23.5
ENV10_1,ENV10,abandoned,other,23.65
ENV10_1,ENV10,abandoned,all,92.7
ENV10_2,ENV10,regular_mowing,endg,3.5
ENV10_2,ENV10,regular_mowing,charact,67
ENV10_2,ENV10,regular_mowing,exp,11
ENV10_2,ENV10,regular_mowing,inv,3
ENV10_2,ENV10,regular_mowing,woody,10
ENV10_2,ENV10,regular_mowing,other,25.55
ENV10_2,ENV10,regular_mowing,all,109.55
ENV11_1,ENV11,regular_mowing,endg,24
ENV11_1,ENV11,regular_mowing,charact,81
ENV11_1,ENV11,regular_mowing,exp,10.5
ENV11_1,ENV11,regular_mowing,inv,10
ENV11_1,ENV11,regular_mowing,woody,0.5
ENV11_1,ENV11,regular_mowing,other,6.1
ENV11_1,ENV11,regular_mowing,all,97.6
ENV11_2,ENV11,irregular_mowing,endg,4.05
ENV11_2,ENV11,irregular_mowing,charact,57.05
ENV11_2,ENV11,irregular_mowing,exp,4.5
ENV11_2,ENV11,irregular_mowing,inv,20
ENV11_2,ENV11,irregular_mowing,woody,4
ENV11_2,ENV11,irregular_mowing,other,16.5
ENV11_2,ENV11,irregular_mowing,all,98.55
ENV12_1,ENV12,irregular_mowing,endg,40.5
ENV12_1,ENV12,irregular_mowing,charact,79.5
ENV12_1,ENV12,irregular_mowing,exp,1
ENV12_1,ENV12,irregular_mowing,inv,0
ENV12_1,ENV12,irregular_mowing,woody,0
ENV12_1,ENV12,irregular_mowing,other,5
ENV12_1,ENV12,irregular_mowing,all,87
ENV12_2,ENV12,abandoned,endg,27.5
ENV12_2,ENV12,abandoned,charact,51.05
ENV12_2,ENV12,abandoned,exp,22.5
ENV12_2,ENV12,abandoned,inv,3
ENV12_2,ENV12,abandoned,woody,22.5
ENV12_2,ENV12,abandoned,other,9.5
ENV12_2,ENV12,abandoned,all,108.05
ENV12_3,ENV12,abandoned,endg,53
ENV12_3,ENV12,abandoned,charact,28.72
ENV12_3,ENV12,abandoned,exp,0.61
ENV12_3,ENV12,abandoned,inv,0
ENV12_3,ENV12,abandoned,woody,0
ENV12_3,ENV12,abandoned,other,14.52
ENV12_3,ENV12,abandoned,all,84.15
ENV13_1,ENV13,irregular_mowing,endg,23.55
ENV13_1,ENV13,irregular_mowing,charact,77.05
ENV13_1,ENV13,irregular_mowing,exp,7.5
ENV13_1,ENV13,irregular_mowing,inv,0
ENV13_1,ENV13,irregular_mowing,woody,4.5
ENV13_1,ENV13,irregular_mowing,other,22.55
ENV13_1,ENV13,irregular_mowing,all,116.65
ENV13_2,ENV13,abandoned,endg,15.5
ENV13_2,ENV13,abandoned,charact,60
ENV13_2,ENV13,abandoned,exp,9
ENV13_2,ENV13,abandoned,inv,0
ENV13_2,ENV13,abandoned,woody,8
ENV13_2,ENV13,abandoned,other,19.5
ENV13_2,ENV13,abandoned,all,92.5
ENV14_1,ENV14,irregular_mowing,endg,11.5
ENV14_1,ENV14,irregular_mowing,charact,91
ENV14_1,ENV14,irregular_mowing,exp,7
ENV14_1,ENV14,irregular_mowing,inv,10
ENV14_1,ENV14,irregular_mowing,woody,7
ENV14_1,ENV14,irregular_mowing,other,10.1
ENV14_1,ENV14,irregular_mowing,all,119.6
ENV14_2,ENV14,irregular_mowing,endg,12
ENV14_2,ENV14,irregular_mowing,charact,66.5
ENV14_2,ENV14,irregular_mowing,exp,7.5
ENV14_2,ENV14,irregular_mowing,inv,0.5
ENV14_2,ENV14,irregular_mowing,woody,10.5
ENV14_2,ENV14,irregular_mowing,other,12.6
ENV14_2,ENV14,irregular_mowing,all,101.6
ENV14_3,ENV14,irregular_mowing,endg,30.4
ENV14_3,ENV14,irregular_mowing,charact,121.51
ENV14_3,ENV14,irregular_mowing,exp,17.6
ENV14_3,ENV14,irregular_mowing,inv,1
ENV14_3,ENV14,irregular_mowing,woody,10.3
ENV14_3,ENV14,irregular_mowing,other,4.62
ENV14_3,ENV14,irregular_mowing,all,140.23
ENV15_1,ENV15,irregular_mowing,endg,2.05
ENV15_1,ENV15,irregular_mowing,charact,47.6
ENV15_1,ENV15,irregular_mowing,exp,25.5
ENV15_1,ENV15,irregular_mowing,inv,3
ENV15_1,ENV15,irregular_mowing,woody,5
ENV15_1,ENV15,irregular_mowing,other,24.65
ENV15_1,ENV15,irregular_mowing,all,81.75
ENV15_2,ENV15,irregular_mowing,endg,19.05
ENV15_2,ENV15,irregular_mowing,charact,74
ENV15_2,ENV15,irregular_mowing,exp,11.5
ENV15_2,ENV15,irregular_mowing,inv,0.5
ENV15_2,ENV15,irregular_mowing,woody,1
ENV15_2,ENV15,irregular_mowing,other,2.55
ENV15_2,ENV15,irregular_mowing,all,78.6
ENV15_3,ENV15,irregular_mowing,endg,17.6
ENV15_3,ENV15,irregular_mowing,charact,76.6
ENV15_3,ENV15,irregular_mowing,exp,32
ENV15_3,ENV15,irregular_mowing,inv,0.5
ENV15_3,ENV15,irregular_mowing,woody,11.5
ENV15_3,ENV15,irregular_mowing,other,2.5
ENV15_3,ENV15,irregular_mowing,all,95.1
ENV16_1,ENV16,irregular_mowing,endg,2.55
ENV16_1,ENV16,irregular_mowing,charact,40.55
ENV16_1,ENV16,irregular_mowing,exp,7
ENV16_1,ENV16,irregular_mowing,inv,3
ENV16_1,ENV16,irregular_mowing,woody,6.5
ENV16_1,ENV16,irregular_mowing,other,10.2
ENV16_1,ENV16,irregular_mowing,all,60.75
ENV16_2,ENV16,irregular_mowing,endg,1.15
ENV16_2,ENV16,irregular_mowing,charact,34.05
ENV16_2,ENV16,irregular_mowing,exp,4.5
ENV16_2,ENV16,irregular_mowing,inv,37.5
ENV16_2,ENV16,irregular_mowing,woody,1
ENV16_2,ENV16,irregular_mowing,other,6.55
ENV16_2,ENV16,irregular_mowing,all,82.7
ENV16_3,ENV16,irregular_mowing,endg,13
ENV16_3,ENV16,irregular_mowing,charact,46.05
ENV16_3,ENV16,irregular_mowing,exp,0
ENV16_3,ENV16,irregular_mowing,inv,3
ENV16_3,ENV16,irregular_mowing,woody,0
ENV16_3,ENV16,irregular_mowing,other,2.6
ENV16_3,ENV16,irregular_mowing,all,52.65
ENV17_1,ENV17,regular_mowing,endg,18.6
ENV17_1,ENV17,regular_mowing,charact,85
ENV17_1,ENV17,regular_mowing,exp,1.5
ENV17_1,ENV17,regular_mowing,inv,3
ENV17_1,ENV17,regular_mowing,woody,0.5
ENV17_1,ENV17,regular_mowing,other,5.1
ENV17_1,ENV17,regular_mowing,all,97.2
ENV17_2,ENV17,abandoned,endg,5
ENV17_2,ENV17,abandoned,charact,47
ENV17_2,ENV17,abandoned,exp,11
ENV17_2,ENV17,abandoned,inv,37.5
ENV17_2,ENV17,abandoned,woody,4.5
ENV17_2,ENV17,abandoned,other,7
ENV17_2,ENV17,abandoned,all,100.5
ENV18_1,ENV18,irregular_mowing,endg,14.1
ENV18_1,ENV18,irregular_mowing,charact,77.65
ENV18_1,ENV18,irregular_mowing,exp,17.5
ENV18_1,ENV18,irregular_mowing,inv,0
ENV18_1,ENV18,irregular_mowing,woody,7
ENV18_1,ENV18,irregular_mowing,other,12.55
ENV18_1,ENV18,irregular_mowing,all,107.7
ENV18_2,ENV18,irregular_mowing,endg,4.1
ENV18_2,ENV18,irregular_mowing,charact,67.6
ENV18_2,ENV18,irregular_mowing,exp,12.5
ENV18_2,ENV18,irregular_mowing,inv,0.5
ENV18_2,ENV18,irregular_mowing,woody,11.5
ENV18_2,ENV18,irregular_mowing,other,7.55
ENV18_2,ENV18,irregular_mowing,all,88.15
ENV19_1,ENV19,irregular_mowing,endg,1.5
ENV19_1,ENV19,irregular_mowing,charact,79.5
ENV19_1,ENV19,irregular_mowing,exp,3
ENV19_1,ENV19,irregular_mowing,inv,0.5
ENV19_1,ENV19,irregular_mowing,woody,2
ENV19_1,ENV19,irregular_mowing,other,19.15
ENV19_1,ENV19,irregular_mowing,all,102.15
ENV19_2,ENV19,irregular_mowing,endg,11.5
ENV19_2,ENV19,irregular_mowing,charact,54.05
ENV19_2,ENV19,irregular_mowing,exp,2.5
ENV19_2,ENV19,irregular_mowing,inv,0
ENV19_2,ENV19,irregular_mowing,woody,1.5
ENV19_2,ENV19,irregular_mowing,other,20.6
ENV19_2,ENV19,irregular_mowing,all,77.15
ENV20_1,ENV20,irregular_mowing,endg,40.6
ENV20_1,ENV20,irregular_mowing,charact,64.32
ENV20_1,ENV20,irregular_mowing,exp,3.5
ENV20_1,ENV20,irregular_mowing,inv,7
ENV20_1,ENV20,irregular_mowing,woody,23.5
ENV20_1,ENV20,irregular_mowing,other,4.95
ENV20_1,ENV20,irregular_mowing,all,99.77
ENV22_1,ENV22,irregular_mowing,endg,9.2
ENV22_1,ENV22,irregular_mowing,charact,10.7
ENV22_1,ENV22,irregular_mowing,exp,9.5
ENV22_1,ENV22,irregular_mowing,inv,30
ENV22_1,ENV22,irregular_mowing,woody,15.5
ENV22_1,ENV22,irregular_mowing,other,20.03
ENV22_1,ENV22,irregular_mowing,all,79.33
ENV22_2,ENV22,regular_mowing,endg,18.61
ENV22_2,ENV22,regular_mowing,charact,57.42
ENV22_2,ENV22,regular_mowing,exp,1.5
ENV22_2,ENV22,regular_mowing,inv,2
ENV22_2,ENV22,regular_mowing,woody,9.5
ENV22_2,ENV22,regular_mowing,other,28.42
ENV22_2,ENV22,regular_mowing,all,100.94
ENV23_1,ENV23,irregular_mowing,endg,0.6
ENV23_1,ENV23,irregular_mowing,charact,39.71
ENV23_1,ENV23,irregular_mowing,exp,0.5
ENV23_1,ENV23,irregular_mowing,inv,5
ENV23_1,ENV23,irregular_mowing,woody,0.5
ENV23_1,ENV23,irregular_mowing,other,20.75
ENV23_1,ENV23,irregular_mowing,all,66.06
ENV23_2,ENV23,regular_mowing,endg,0.2
ENV23_2,ENV23,regular_mowing,charact,48.22
ENV23_2,ENV23,regular_mowing,exp,0.1
ENV23_2,ENV23,regular_mowing,inv,5
ENV23_2,ENV23,regular_mowing,woody,0.1
ENV23_2,ENV23,regular_mowing,other,23.93
ENV23_2,ENV23,regular_mowing,all,77.35
ENV25_1,ENV25,irregular_mowing,endg,0.1
ENV25_1,ENV25,irregular_mowing,charact,44.21
ENV25_1,ENV25,irregular_mowing,exp,11.01
ENV25_1,ENV25,irregular_mowing,inv,15
ENV25_1,ENV25,irregular_mowing,woody,11
ENV25_1,ENV25,irregular_mowing,other,19.54
ENV25_1,ENV25,irregular_mowing,all,89.86
ENV25_2,ENV25,regular_mowing,endg,4.5
ENV25_2,ENV25,regular_mowing,charact,62.81
ENV25_2,ENV25,regular_mowing,exp,5.51
ENV25_2,ENV25,regular_mowing,inv,1
ENV25_2,ENV25,regular_mowing,woody,0.51
ENV25_2,ENV25,regular_mowing,other,25.44
ENV25_2,ENV25,regular_mowing,all,89.76
ENV28_1,ENV28,regular_mowing,endg,10.62
ENV28_1,ENV28,regular_mowing,charact,59.9
ENV28_1,ENV28,regular_mowing,exp,0.5
ENV28_1,ENV28,regular_mowing,inv,2
ENV28_1,ENV28,regular_mowing,woody,0.51
ENV28_1,ENV28,regular_mowing,other,18.81
ENV28_1,ENV28,regular_mowing,all,81.24
ENV28_2,ENV28,irregular_mowing,endg,0.30000000000000004
ENV28_2,ENV28,irregular_mowing,charact,48.51
ENV28_2,ENV28,irregular_mowing,exp,7.5
ENV28_2,ENV28,irregular_mowing,inv,17
ENV28_2,ENV28,irregular_mowing,woody,6.5
ENV28_2,ENV28,irregular_mowing,other,17.43
ENV28_2,ENV28,irregular_mowing,all,90.54
ENV30_1,ENV30,irregular_mowing,endg,9.1
ENV30_1,ENV30,irregular_mowing,charact,60.31
ENV30_1,ENV30,irregular_mowing,exp,13.6
ENV30_1,ENV30,irregular_mowing,inv,10
ENV30_1,ENV30,irregular_mowing,woody,0.6
ENV30_1,ENV30,irregular_mowing,other,7.8
ENV30_1,ENV30,irregular_mowing,all,91.71
ENV31_1,ENV31,irregular_mowing,endg,38.42
ENV31_1,ENV31,irregular_mowing,charact,88.81
ENV31_1,ENV31,irregular_mowing,exp,4
ENV31_1,ENV31,irregular_mowing,inv,0.5
ENV31_1,ENV31,irregular_mowing,woody,3
ENV31_1,ENV31,irregular_mowing,other,4.32
ENV31_1,ENV31,irregular_mowing,all,99.24
ENV32_1,ENV32,regular_mowing,endg,75.22
ENV32_1,ENV32,regular_mowing,charact,96.32
ENV32_1,ENV32,regular_mowing,exp,0.11
ENV32_1,ENV32,regular_mowing,inv,0
ENV32_1,ENV32,regular_mowing,woody,0.12000000000000001
ENV32_1,ENV32,regular_mowing,other,4.55
ENV32_1,ENV32,regular_mowing,all,121.31
ENV32_2,ENV32,abandoned,endg,6.1
ENV32_2,ENV32,abandoned,charact,6.8
ENV32_2,ENV32,abandoned,exp,23.7
ENV32_2,ENV32,abandoned,inv,35.1
ENV32_2,ENV32,abandoned,woody,3.2
ENV32_2,ENV32,abandoned,other,24.73
ENV32_2,ENV32,abandoned,all,91.43
ENV34_1,ENV34,regular_mowing,endg,24.81
ENV34_1,ENV34,regular_mowing,charact,72.72
ENV34_1,ENV34,regular_mowing,exp,3.22
ENV34_1,ENV34,regular_mowing,inv,0
ENV34_1,ENV34,regular_mowing,woody,0.62
ENV34_1,ENV34,regular_mowing,other,8.24
ENV34_1,ENV34,regular_mowing,all,91.79
ENV34_2,ENV34,irregular_mowing,endg,18.54
ENV34_2,ENV34,irregular_mowing,charact,43.31
ENV34_2,ENV34,irregular_mowing,exp,33.5
ENV34_2,ENV34,irregular_mowing,inv,1.1
ENV34_2,ENV34,irregular_mowing,woody,18.61
ENV34_2,ENV34,irregular_mowing,other,7.35
ENV34_2,ENV34,irregular_mowing,all,89.5
ENV35_1,ENV35,irregular_mowing,endg,7.5
ENV35_1,ENV35,irregular_mowing,charact,78.1
ENV35_1,ENV35,irregular_mowing,exp,8.1
ENV35_1,ENV35,irregular_mowing,inv,20.01
ENV35_1,ENV35,irregular_mowing,woody,1.01
ENV35_1,ENV35,irregular_mowing,other,2.33
ENV35_1,ENV35,irregular_mowing,all,113.44
ENV35_2,ENV35,regular_mowing,endg,34.31
ENV35_2,ENV35,regular_mowing,charact,94.1
ENV35_2,ENV35,regular_mowing,exp,2.6
ENV35_2,ENV35,regular_mowing,inv,0.5
ENV35_2,ENV35,regular_mowing,woody,0.1
ENV35_2,ENV35,regular_mowing,other,2.0300000000000002
ENV35_2,ENV35,regular_mowing,all,104.84
ENV36_1,ENV36,irregular_mowing,endg,9.21
ENV36_1,ENV36,irregular_mowing,charact,72.71
ENV36_1,ENV36,irregular_mowing,exp,40.6
ENV36_1,ENV36,irregular_mowing,inv,1
ENV36_1,ENV36,irregular_mowing,woody,5.5
ENV36_1,ENV36,irregular_mowing,other,0.84
ENV36_1,ENV36,irregular_mowing,all,82.76
ENV36_2,ENV36,regular_mowing,endg,51.51
ENV36_2,ENV36,regular_mowing,charact,106.11
ENV36_2,ENV36,regular_mowing,exp,15.6
ENV36_2,ENV36,regular_mowing,inv,0.11
ENV36_2,ENV36,regular_mowing,woody,0.22
ENV36_2,ENV36,regular_mowing,other,3.62
ENV36_2,ENV36,regular_mowing,all,114.36
ENV37_1,ENV37,irregular_mowing,endg,0.71
ENV37_1,ENV37,irregular_mowing,charact,62.73
ENV37_1,ENV37,irregular_mowing,exp,6
ENV37_1,ENV37,irregular_mowing,inv,7
ENV37_1,ENV37,irregular_mowing,woody,2.5
ENV37_1,ENV37,irregular_mowing,other,24.02
ENV37_1,ENV37,irregular_mowing,all,97.75
ENV37_2,ENV37,regular_mowing,endg,21.12
ENV37_2,ENV37,regular_mowing,charact,75.21
ENV37_2,ENV37,regular_mowing,exp,1.3
ENV37_2,ENV37,regular_mowing,inv,0
ENV37_2,ENV37,regular_mowing,woody,0.30000000000000004
ENV37_2,ENV37,regular_mowing,other,7.61
ENV37_2,ENV37,regular_mowing,all,86.64
ENV38_1,ENV38,irregular_mowing,endg,2.12
ENV38_1,ENV38,irregular_mowing,charact,49.74
ENV38_1,ENV38,irregular_mowing,exp,35.1
ENV38_1,ENV38,irregular_mowing,inv,1.01
ENV38_1,ENV38,irregular_mowing,woody,0.01
ENV38_1,ENV38,irregular_mowing,other,0.22
ENV38_1,ENV38,irregular_mowing,all,51.08
ENV38_2,ENV38,abandoned,endg,12.63
ENV38_2,ENV38,abandoned,charact,98.43
ENV38_2,ENV38,abandoned,exp,21.11
ENV38_2,ENV38,abandoned,inv,0.52
ENV38_2,ENV38,abandoned,woody,0.14
ENV38_2,ENV38,abandoned,other,2.77
ENV38_2,ENV38,abandoned,all,103.07
ENV39_1,ENV39,abandoned,endg,0.11
ENV39_1,ENV39,abandoned,charact,28.04
ENV39_1,ENV39,abandoned,exp,29.22
ENV39_1,ENV39,abandoned,inv,40.11
ENV39_1,ENV39,abandoned,woody,4.23
ENV39_1,ENV39,abandoned,other,18.52
ENV39_1,ENV39,abandoned,all,115.89
ENV39_2,ENV39,regular_mowing,endg,29.93
ENV39_2,ENV39,regular_mowing,charact,81.15
ENV39_2,ENV39,regular_mowing,exp,1.84
ENV39_2,ENV39,regular_mowing,inv,0.01
ENV39_2,ENV39,regular_mowing,woody,0.25
ENV39_2,ENV39,regular_mowing,other,9.13
ENV39_2,ENV39,regular_mowing,all,95.64
ENV40_1,ENV40,regular_mowing,endg,12.9
ENV40_1,ENV40,regular_mowing,charact,88.6
ENV40_1,ENV40,regular_mowing,exp,0.4
ENV40_1,ENV40,regular_mowing,inv,0.6
ENV40_1,ENV40,regular_mowing,woody,0.4
ENV40_1,ENV40,regular_mowing,other,4.45
ENV40_1,ENV40,regular_mowing,all,100.35
ENV41_1,ENV40,abandoned,endg,2
ENV41_1,ENV40,abandoned,charact,26.84
ENV41_1,ENV40,abandoned,exp,29.6
ENV41_1,ENV40,abandoned,inv,7
ENV41_1,ENV40,abandoned,woody,9.6
ENV41_1,ENV40,abandoned,other,6.03
ENV41_1,ENV40,abandoned,all,69.47
ENV42_1,ENV42,irregular_mowing,endg,0.7
ENV42_1,ENV42,irregular_mowing,charact,43.3
ENV42_1,ENV42,irregular_mowing,exp,11
ENV42_1,ENV42,irregular_mowing,inv,41
ENV42_1,ENV42,irregular_mowing,woody,7.5
ENV42_1,ENV42,irregular_mowing,other,13.55
ENV42_1,ENV42,irregular_mowing,all,109.45
ENV42_2,ENV42,regular_mowing,endg,52.42
ENV42_2,ENV42,regular_mowing,charact,88.43
ENV42_2,ENV42,regular_mowing,exp,0.71
ENV42_2,ENV42,regular_mowing,inv,2.1
ENV42_2,ENV42,regular_mowing,woody,4.61
ENV42_2,ENV42,regular_mowing,other,5.06
ENV42_2,ENV42,regular_mowing,all,107.01
ENV43_1,ENV43,abandoned,endg,5.01
ENV43_1,ENV43,abandoned,charact,39.74
ENV43_1,ENV43,abandoned,exp,27
ENV43_1,ENV43,abandoned,inv,26
ENV43_1,ENV43,abandoned,woody,18
ENV43_1,ENV43,abandoned,other,7.54
ENV43_1,ENV43,abandoned,all,106.28
ENV44_1,ENV44,regular_mowing,endg,10.51
ENV44_1,ENV44,regular_mowing,charact,66.11
ENV44_1,ENV44,regular_mowing,exp,5.81
ENV44_1,ENV44,regular_mowing,inv,15
ENV44_1,ENV44,regular_mowing,woody,0.8200000000000001
ENV44_1,ENV44,regular_mowing,other,16.65
ENV44_1,ENV44,regular_mowing,all,104.08
ENV44_2,ENV44,abandoned,endg,0.6
ENV44_2,ENV44,abandoned,charact,22.51
ENV44_2,ENV44,abandoned,exp,17.41
ENV44_2,ENV44,abandoned,inv,30.5
ENV44_2,ENV44,abandoned,woody,16.2
ENV44_2,ENV44,abandoned,other,3.07
ENV44_2,ENV44,abandoned,all,73.99
ENV45_1,ENV45,regular_mowing,endg,8.42
ENV45_1,ENV45,regular_mowing,charact,124.33
ENV45_1,ENV45,regular_mowing,exp,4.6
ENV45_1,ENV45,regular_mowing,inv,3
ENV45_1,ENV45,regular_mowing,woody,0.6
ENV45_1,ENV45,regular_mowing,other,8.52
ENV45_1,ENV45,regular_mowing,all,145.76
ENV45_2,ENV45,irregular_mowing,endg,1.01
ENV45_2,ENV45,irregular_mowing,charact,64.42
ENV45_2,ENV45,irregular_mowing,exp,4
ENV45_2,ENV45,irregular_mowing,inv,15.1
ENV45_2,ENV45,irregular_mowing,woody,2.01
ENV45_2,ENV45,irregular_mowing,other,9.37
ENV45_2,ENV45,irregular_mowing,all,93.91
ENV46_1,ENV46,abandoned,endg,23.31
ENV46_1,ENV46,abandoned,charact,50.93
ENV46_1,ENV46,abandoned,exp,27.5
ENV46_1,ENV46,abandoned,inv,2
ENV46_1,ENV46,abandoned,woody,30
ENV46_1,ENV46,abandoned,other,4.55
ENV46_1,ENV46,abandoned,all,87.98
ENV46_2,ENV46,irregular_mowing,endg,62.62
ENV46_2,ENV46,irregular_mowing,charact,86.03
ENV46_2,ENV46,irregular_mowing,exp,1.01
ENV46_2,ENV46,irregular_mowing,inv,0
ENV46_2,ENV46,irregular_mowing,woody,2.01
ENV46_2,ENV46,irregular_mowing,other,3.41
ENV46_2,ENV46,irregular_mowing,all,91.46
ENV47_1,ENV47,irregular_mowing,endg,6.2
ENV47_1,ENV47,irregular_mowing,charact,46.92
ENV47_1,ENV47,irregular_mowing,exp,11
ENV47_1,ENV47,irregular_mowing,inv,2
ENV47_1,ENV47,irregular_mowing,woody,6.11
ENV47_1,ENV47,irregular_mowing,other,2.62
ENV47_1,ENV47,irregular_mowing,all,62.65
ENV47_2,ENV47,regular_mowing,endg,29.31
ENV47_2,ENV47,regular_mowing,charact,63.61
ENV47_2,ENV47,regular_mowing,exp,2.21
ENV47_2,ENV47,regular_mowing,inv,0
ENV47_2,ENV47,regular_mowing,woody,1.71
ENV47_2,ENV47,regular_mowing,other,6.22
ENV47_2,ENV47,regular_mowing,all,71.55
ENV48_1,ENV48,abandoned,endg,3.31
ENV48_1,ENV48,abandoned,charact,32.03
ENV48_1,ENV48,abandoned,exp,38.1
ENV48_1,ENV48,abandoned,inv,10
ENV48_1,ENV48,abandoned,woody,37.6
ENV48_1,ENV48,abandoned,other,5.53
ENV48_1,ENV48,abandoned,all,88.26
ENV48_2,ENV48,regular_mowing,endg,15.82
ENV48_2,ENV48,regular_mowing,charact,74.52
ENV48_2,ENV48,regular_mowing,exp,3.71
ENV48_2,ENV48,regular_mowing,inv,0
ENV48_2,ENV48,regular_mowing,woody,0.63
ENV48_2,ENV48,regular_mowing,other,11.71
ENV48_2,ENV48,regular_mowing,all,87.07
ENV49_1,ENV49,regular_mowing,endg,48.41
ENV49_1,ENV49,regular_mowing,charact,99.94
ENV49_1,ENV49,regular_mowing,exp,0.30000000000000004
