plot_ID,endg,endg_cover,charact,charact_cover,exp,exp_cover,inv,inv_cover,woody,woody_cover,other,other_cover,site_ID,expert_assessment
ENV13_2,7,15.5,12,60,8,9,0,0,6,8,10,19.5,ENV13,abandoned
ENV14_1,4,11.5,16,91,4,7,1,10,4,7,12,10.1,ENV14,irregular_mowing
ENV14_2,5,12,16,66.5,5,7.5,1,0.5,6,10.5,17,12.6,ENV14,irregular_mowing
ENV14_3,15,30.4,33,121.51,7,17.6,1,1,7,10.3,13,4.62,ENV14,irregular_mowing
ENV15_1,5,2.05,15,47.6,7,25.5,1,3,5,5,18,24.65,ENV15,irregular_mowing
ENV15_2,10,19.05,28,74,4,11.5,1,0.5,2,1,6,2.55,ENV15,irregular_mowing
ENV15_3,8,17.6,29,76.6,6,32,1,0.5,4,11.5,5,2.5,ENV15,irregular_mowing
ENV16_1,6,2.55,19,40.55,4,7,1,3,3,6.5,9,10.2,ENV16,irregular_mowing
ENV16_2,5,1.15,16,34.05,4,4.5,1,37.5,2,1,9,6.55,ENV16,irregular_mowing
ENV16_3,11,13,25,46.05,0,0,1,3,0,0,7,2.6,ENV16,irregular_mowing
ENV17_1,10,18.6,24,85,3,1.5,1,3,1,0.5,12,5.1,ENV17,regular_mowing
ENV17_2,5,5,16,47,7,11,1,37.5,4,4.5,9,7,ENV17,abandoned
ENV18_1,6,14.1,21,77.65,6,17.5,0,0,4,7,11,12.55,ENV18,irregular_mowing
ENV18_2,5,4.1,20,67.6,6,12.5,1,0.5,4,11.5,11,7.55,ENV18,irregular_mowing
ENV19_1,3,1.5,13,79.5,6,3,1,0.5,4,2,12,19.15,ENV19,irregular_mowing
ENV19_2,4,11.5,17,54.05,5,2.5,0,0,3,1.5,14,20.6,ENV19,irregular_mowing
ENV20_1,7,40.6,28,64.32,2,3.5,1,7,3,23.5,13,4.95,ENV20,irregular_mowing
ENV22_1,7,9.2,9,10.7,2,9.5,1,30,4,15.5,10,20.03,ENV22,irregular_mowing
ENV22_2,9,18.61,18,57.42,2,1.5,1,2,2,9.5,13,28.42,ENV22,regular_mowing
ENV23_1,2,0.6,16,39.71,1,0.5,1,5,1,0.5,17,20.75,ENV23,irregular_mowing
ENV23_2,2,0.2,22,48.22,1,0.1,1,5,1,0.1,18,23.93,ENV23,regular_mowing
ENV25_1,1,0.1,16,44.21,3,11.01,1,15,2,11,17,19.54,ENV25,irregular_mowing
ENV25_2,2,4.5,23,62.81,3,5.51,1,1,2,0.51,15,25.44,ENV25,regular_mowing
ENV28_1,8,10.62,33,59.9,1,0.5,1,2,2,0.51,10,18.81,ENV28,regular_mowing
ENV28_2,3,0.30000000000000004,32,48.51,5,7.5,1,17,3,6.5,14,17.43,ENV28,irregular_mowing
ENV30_1,4,9.1,19,60.31,4,13.6,1,10,2,0.6,12,7.8,ENV30,irregular_mowing
ENV31_1,18,38.42,36,88.81,6,4,1,0.5,4,3,11,4.32,ENV31,irregular_mowing
ENV32_1,28,75.22,43,96.32,2,0.11,0,0,3,0.12000000000000001,12,4.55,ENV32,regular_mowing
ENV32_2,3,6.1,6,6.8,8,23.7,2,35.1,3,3.2,19,24.73,ENV32,abandoned
ENV34_1,15,24.81,31,72.72,6,3.22,0,0,4,0.62,21,8.24,ENV34,regular_mowing
ENV34_2,13,18.54,17,43.31,4,33.5,2,1.1,5,18.61,13,7.35,ENV34,irregular_mowing
ENV35_1,3,7.5,25,78.1,4,8.1,2,20.01,3,1.01,9,2.33,ENV35,irregular_mowing
ENV35_2,14,34.31,36,94.1,3,2.6,1,0.5,1,0.1,11,2.0300000000000002,ENV35,regular_mowing
ENV36_1,13,9.21,25,72.71,4,40.6,1,1,2,5.5,8,0.84,ENV36,irregular_mowing
ENV36_2,21,51.51,41,106.11,3,15.6,2,0.11,4,0.22,11,3.62,ENV36,regular_mowing
ENV37_1,4,0.71,27,62.73,6,6,1,7,3,2.5,15,24.02,ENV37,irregular_mowing
ENV37_2,11,21.12,38,75.21,4,1.3,0,0,2,0.30000000000000004,11,7.61,ENV37,regular_mowing
ENV38_1,6,2.12,20,49.74,2,35.1,2,1.01,1,0.01,4,0.22,ENV38,irregular_mowing
ENV38_2,16,12.63,45,98.43,4,21.11,3,0.52,5,0.14,22,2.77,ENV38,abandoned
ENV39_1,2,0.11,14,28.04,8,29.22,2,40.11,6,4.23,13,18.52,ENV39,abandoned
ENV39_2,15,29.93,28,81.15,8,1.84,1,0.01,6,0.25,16,9.13,ENV39,regular_mowing
ENV40_1,16,12.9,26,88.6,4,0.4,2,0.6,4,0.4,18,4.45,ENV40,regular_mowing
ENV41_1,1,2,13,26.84,7,29.6,1,7,5,9.6,5,6.03,ENV40,abandoned
ENV42_1,3,0.7,11,43.3,7,11,2,41,5,7.5,14,13.55,ENV42,irregular_mowing
ENV42_2,23,52.42,31,88.43,4,0.71,2,2.1,4,4.61,16,5.06,ENV42,regular_mowing
ENV43_1,3,5.01,24,39.74,5,27,2,26,5,18,13,7.54,ENV43,abandoned
ENV44_1,3,10.51,21,66.11,6,5.81,1,15,6,0.8200000000000001,18,16.65,ENV44,regular_mowing
ENV44_2,2,0.6,9,22.51,7,17.41,2,30.5,3,16.2,20,3.07,ENV44,abandoned
ENV45_1,11,8.42,29,124.33,4,4.6,1,3,2,0.6,12,8.52,ENV45,regular_mowing
ENV45_2,2,1.01,18,64.42,3,4,2,15.1,3,2.01,15,9.37,ENV45,irregular_mowing
ENV46_1,15,23.31,34,50.93,4,27.5,1,2,7,30,12,4.55,ENV46,abandoned
ENV46_2,20,62.62,43,86.03,3,1.01,0,0,4,2.01,6,3.41,ENV46,irregular_mowing
ENV47_1,4,6.2,22,46.92,4,11,1,2,5,6.11,9,2.62,ENV47,irregular_mowing
ENV47_2,6,29.31,31,63.61,6,2.21,0,0,5,1.71,13,6.22,ENV47,regular_mowing
ENV48_1,7,3.31,27,32.03,8,38.1,1,10,8,37.6,11,5.53,ENV48,abandoned
ENV48_2,12,15.82,39,74.52,5,3.71,0,0,5,0.63,9,11.71,ENV48,regular_mowing
ENV49_1,13,48.41,34,99.94,3,0.30000000000000004,1,0.1,5,0.5,17,12.73,ENV49,regular_mowing
ENV49_2,6,27.61,23,62.95,6,8.2,1,1,5,3.2,9,6,ENV49,irregular_mowing
ENV50_1,8,17.32,32,103.43,6,34.1,1,0.01,4,3.1,11,2.62,ENV50,irregular_mowing
ENV50_2,2,10.01,16,40.72,9,57.1,2,20.1,7,39.1,12,3.43,ENV50,abandoned
ENV51_1,2,0.11,20,40.43,5,23.2,2,15.5,3,22.1,12,10.52,ENV51,abandoned
ENV51_2,11,31.7,35,105.22,3,2.02,1,0.1,3,0.12000000000000001,14,14.11,ENV51,regular_mowing
ENV52_1,8,22.82,28,49.93,7,42.7,1,5,8,37.12,10,9.91,ENV52,irregular_mowing
ENV52_2,13,31.9,37,122.31,5,26.11,1,0.5,5,6.21,13,8.52,ENV52,regular_mowing
ENV53_1,1,0.5,20,68.3,5,3.4,3,12.01,5,0.41000000000000003,21,18.81,ENV53,irregular_mowing
ENV71_1,5,16,24,88.1,10,52,3,5.51,11,31.62,19,19.65,ENV71,abandoned
ENV71_2,7,15.11,27,105.3,10,30.5,2,3.5,5,20.5,18,15.63,ENV71,irregular_mowing
MKDP11,14,43,15,46.5,1,0.5,0,0,2,1,5,5,ENV34,abandoned
MKDP12,0,0,10,41.22,2,15.1,2,2.1,0,0,19,17.75,ENV59,abandoned
MKDP15,0,0,13,27.7,5,5.1,1,12,2,2,9,43.51,ENV61,abandoned
MKDP17,4,2.2,20,40.8,4,29.1,0,0,3,22.1,15,22.64,ENV63,abandoned
MKDP18,2,1.1,7,21.3,2,1.1,0,0,2,1.1,10,3.7,ENV64,abandoned
MKDP19,0,0,1,0.1,3,4.1,0,0,0,0,6,23.2,ENV65,abandoned
MKDP20,7,3.41,17,42.02,4,10.21,1,1,2,0.11,8,2.5100000000000002,ENV65,abandoned
MKDP21,1,0.01,13,79.42,5,11.4,1,1,4,1.31,7,0.7000000000000001,ENV66,abandoned
MKDP22,3,16.1,20,80.12,4,2.2,1,2,2,0.11,12,2.93,ENV67,abandoned
MKDP24,6,13.1,14,55.6,1,1,1,5,2,1.1,14,18.1,ENV69,abandoned
MKDP5,7,42.1,14,77.1,5,10,1,10,5,4.6,18,10.7,ENV39,irregular_mowing
MKDP6,8,23.5,24,71.7,6,20,0,0,6,8,6,5.5,ENV58,abandoned
MKDP7,2,3.5,10,29,4,14,2,3.5,4,16.5,12,18.9,ENV58,irregular_mowing
MKDP8,9,36,21,78.5,4,1.6,1,0.5,3,1.5,9,7,ENV31,irregular_mowing
MKDP9,14,40.6,22,61.6,1,0.5,0,0,0,0,7,15.5,ENV40,irregular_mowing
