plot_ID,site_ID,management,species_group,species_number
ENV06_1,ENV06,irregular_mowing,other,14
ENV06_1,ENV06,irregular_mowing,all,47
ENV06_2,ENV06,abandoned,endg,1
ENV06_2,ENV06,abandoned,charact,17
ENV06_2,ENV06,abandoned,exp,8
ENV06_2,ENV06,abandoned,inv,1
ENV06_2,ENV06,abandoned,woody,4
ENV06_2,ENV06,abandoned,other,11
ENV06_2,ENV06,abandoned,all,36
ENV07_1,ENV07,regular_mowing,endg,9
ENV07_1,ENV07,regular_mowing,charact,23
ENV07_1,ENV07,regular_mowing,exp,8
ENV07_1,ENV07,regular_mowing,inv,1
ENV07_1,ENV07,regular_mowing,woody,7
ENV07_1,ENV07,regular_mowing,other,15
ENV07_1,ENV07,regular_mowing,all,48
ENV07_2,ENV07,irregular_mowing,endg,5
ENV07_2,ENV07,irregular_mowing,charact,20
ENV07_2,ENV07,irregular_mowing,exp,5
ENV07_2,ENV07,irregular_mowing,inv,1
ENV07_2,ENV07,irregular_mowing,woody,3
ENV07_2,ENV07,irregular_mowing,other,16
ENV07_2,ENV07,irregular_mowing,all,41
ENV08_1,ENV08,irregular_mowing,endg,13
ENV08_1,ENV08,irregular_mowing,charact,25
ENV08_1,ENV08,irregular_mowing,exp,4
ENV08_1,ENV08,irregular_mowing,inv,1
ENV08_1,ENV08,irregular_mowing,woody,3
ENV08_1,ENV08,irregular_mowing,other,4
ENV08_1,ENV08,irregular_mowing,all,37
ENV08_2,ENV08,regular_mowing,endg,16
ENV08_2,ENV08,regular_mowing,charact,29
ENV08_2,ENV08,regular_mowing,exp,4
ENV08_2,ENV08,regular_mowing,inv,1
ENV08_2,ENV08,regular_mowing,woody,2
ENV08_2,ENV08,regular_mowing,other,6
ENV08_2,ENV08,regular_mowing,all,42
ENV08_3,ENV08,irregular_mowing,endg,15
ENV08_3,ENV08,irregular_mowing,charact,21
ENV08_3,ENV08,irregular_mowing,exp,2
ENV08_3,ENV08,irregular_mowing,inv,1
ENV08_3,ENV08,irregular_mowing,woody,2
ENV08_3,ENV08,irregular_mowing,other,10
ENV08_3,ENV08,irregular_mowing,all,38
ENV10_1,ENV10,abandoned,endg,2
ENV10_1,ENV10,abandoned,charact,5
ENV10_1,ENV10,abandoned,exp,5
ENV10_1,ENV10,abandoned,inv,1
ENV10_1,ENV10,abandoned,woody,3
ENV10_1,ENV10,abandoned,other,11
ENV10_1,ENV10,abandoned,all,23
ENV10_2,ENV10,regular_mowing,endg,2
ENV10_2,ENV10,regular_mowing,charact,13
ENV10_2,ENV10,regular_mowing,exp,3
ENV10_2,ENV10,regular_mowing,inv,1
ENV10_2,ENV10,regular_mowing,woody,1
ENV10_2,ENV10,regular_mowing,other,9
ENV10_2,ENV10,regular_mowing,all,27
ENV11_1,ENV11,regular_mowing,endg,5
ENV11_1,ENV11,regular_mowing,charact,27
ENV11_1,ENV11,regular_mowing,exp,2
ENV11_1,ENV11,regular_mowing,inv,1
ENV11_1,ENV11,regular_mowing,woody,1
ENV11_1,ENV11,regular_mowing,other,9
ENV11_1,ENV11,regular_mowing,all,38
ENV11_2,ENV11,irregular_mowing,endg,4
ENV11_2,ENV11,irregular_mowing,charact,22
ENV11_2,ENV11,irregular_mowing,exp,4
ENV11_2,ENV11,irregular_mowing,inv,1
ENV11_2,ENV11,irregular_mowing,woody,3
ENV11_2,ENV11,irregular_mowing,other,9
ENV11_2,ENV11,irregular_mowing,all,37
ENV12_1,ENV12,irregular_mowing,endg,13
ENV12_1,ENV12,irregular_mowing,charact,28
ENV12_1,ENV12,irregular_mowing,exp,2
ENV12_1,ENV12,irregular_mowing,inv,0
ENV12_1,ENV12,irregular_mowing,woody,0
ENV12_1,ENV12,irregular_mowing,other,10
ENV12_1,ENV12,irregular_mowing,all,43
ENV12_2,ENV12,abandoned,endg,6
ENV12_2,ENV12,abandoned,charact,21
ENV12_2,ENV12,abandoned,exp,6
ENV12_2,ENV12,abandoned,inv,1
ENV12_2,ENV12,abandoned,woody,6
ENV12_2,ENV12,abandoned,other,9
ENV12_2,ENV12,abandoned,all,42
ENV12_3,ENV12,abandoned,endg,15
ENV12_3,ENV12,abandoned,charact,23
ENV12_3,ENV12,abandoned,exp,3
ENV12_3,ENV12,abandoned,inv,0
ENV12_3,ENV12,abandoned,woody,0
ENV12_3,ENV12,abandoned,other,14
ENV12_3,ENV12,abandoned,all,48
ENV13_1,ENV13,irregular_mowing,endg,9
ENV13_1,ENV13,irregular_mowing,charact,19
ENV13_1,ENV13,irregular_mowing,exp,4
ENV13_1,ENV13,irregular_mowing,inv,0
ENV13_1,ENV13,irregular_mowing,woody,3
ENV13_1,ENV13,irregular_mowing,other,16
ENV13_1,ENV13,irregular_mowing,all,44
ENV13_2,ENV13,abandoned,endg,7
ENV13_2,ENV13,abandoned,charact,12
ENV13_2,ENV13,abandoned,exp,8
ENV13_2,ENV13,abandoned,inv,0
ENV13_2,ENV13,abandoned,woody,6
ENV13_2,ENV13,abandoned,other,10
ENV13_2,ENV13,abandoned,all,33
ENV14_1,ENV14,irregular_mowing,endg,4
ENV14_1,ENV14,irregular_mowing,charact,16
ENV14_1,ENV14,irregular_mowing,exp,4
ENV14_1,ENV14,irregular_mowing,inv,1
ENV14_1,ENV14,irregular_mowing,woody,4
ENV14_1,ENV14,irregular_mowing,other,12
ENV14_1,ENV14,irregular_mowing,all,36
ENV14_2,ENV14,irregular_mowing,endg,5
ENV14_2,ENV14,irregular_mowing,charact,16
ENV14_2,ENV14,irregular_mowing,exp,5
ENV14_2,ENV14,irregular_mowing,inv,1
ENV14_2,ENV14,irregular_mowing,woody,6
ENV14_2,ENV14,irregular_mowing,other,17
ENV14_2,ENV14,irregular_mowing,all,44
ENV14_3,ENV14,irregular_mowing,endg,15
ENV14_3,ENV14,irregular_mowing,charact,33
ENV14_3,ENV14,irregular_mowing,exp,7
ENV14_3,ENV14,irregular_mowing,inv,1
ENV14_3,ENV14,irregular_mowing,woody,7
ENV14_3,ENV14,irregular_mowing,other,13
ENV14_3,ENV14,irregular_mowing,all,59
ENV15_1,ENV15,irregular_mowing,endg,5
ENV15_1,ENV15,irregular_mowing,charact,15
ENV15_1,ENV15,irregular_mowing,exp,7
ENV15_1,ENV15,irregular_mowing,inv,1
ENV15_1,ENV15,irregular_mowing,woody,5
ENV15_1,ENV15,irregular_mowing,other,18
ENV15_1,ENV15,irregular_mowing,all,42
ENV15_2,ENV15,irregular_mowing,endg,10
ENV15_2,ENV15,irregular_mowing,charact,28
ENV15_2,ENV15,irregular_mowing,exp,4
ENV15_2,ENV15,irregular_mowing,inv,1
ENV15_2,ENV15,irregular_mowing,woody,2
ENV15_2,ENV15,irregular_mowing,other,6
ENV15_2,ENV15,irregular_mowing,all,39
ENV15_3,ENV15,irregular_mowing,endg,8
ENV15_3,ENV15,irregular_mowing,charact,29
ENV15_3,ENV15,irregular_mowing,exp,6
ENV15_3,ENV15,irregular_mowing,inv,1
ENV15_3,ENV15,irregular_mowing,woody,4
ENV15_3,ENV15,irregular_mowing,other,5
ENV15_3,ENV15,irregular_mowing,all,42
ENV16_1,ENV16,irregular_mowing,endg,6
ENV16_1,ENV16,irregular_mowing,charact,19
ENV16_1,ENV16,irregular_mowing,exp,4
ENV16_1,ENV16,irregular_mowing,inv,1
ENV16_1,ENV16,irregular_mowing,woody,3
ENV16_1,ENV16,irregular_mowing,other,9
ENV16_1,ENV16,irregular_mowing,all,33
ENV16_2,ENV16,irregular_mowing,endg,5
ENV16_2,ENV16,irregular_mowing,charact,16
ENV16_2,ENV16,irregular_mowing,exp,4
ENV16_2,ENV16,irregular_mowing,inv,1
ENV16_2,ENV16,irregular_mowing,woody,2
ENV16_2,ENV16,irregular_mowing,other,9
ENV16_2,ENV16,irregular_mowing,all,32
ENV16_3,ENV16,irregular_mowing,endg,11
ENV16_3,ENV16,irregular_mowing,charact,25
ENV16_3,ENV16,irregular_mowing,exp,0
ENV16_3,ENV16,irregular_mowing,inv,1
ENV16_3,ENV16,irregular_mowing,woody,0
ENV16_3,ENV16,irregular_mowing,other,7
ENV16_3,ENV16,irregular_mowing,all,35
ENV17_1,ENV17,regular_mowing,endg,10
ENV17_1,ENV17,regular_mowing,charact,24
ENV17_1,ENV17,regular_mowing,exp,3
ENV17_1,ENV17,regular_mowing,inv,1
ENV17_1,ENV17,regular_mowing,woody,1
ENV17_1,ENV17,regular_mowing,other,12
ENV17_1,ENV17,regular_mowing,all,42
ENV17_2,ENV17,abandoned,endg,5
ENV17_2,ENV17,abandoned,charact,16
ENV17_2,ENV17,abandoned,exp,7
ENV17_2,ENV17,abandoned,inv,1
ENV17_2,ENV17,abandoned,woody,4
ENV17_2,ENV17,abandoned,other,9
ENV17_2,ENV17,abandoned,all,34
ENV18_1,ENV18,irregular_mowing,endg,6
ENV18_1,ENV18,irregular_mowing,charact,21
ENV18_1,ENV18,irregular_mowing,exp,6
ENV18_1,ENV18,irregular_mowing,inv,0
ENV18_1,ENV18,irregular_mowing,woody,4
ENV18_1,ENV18,irregular_mowing,other,11
ENV18_1,ENV18,irregular_mowing,all,38
ENV18_2,ENV18,irregular_mowing,endg,5
ENV18_2,ENV18,irregular_mowing,charact,20
ENV18_2,ENV18,irregular_mowing,exp,6
ENV18_2,ENV18,irregular_mowing,inv,1
ENV18_2,ENV18,irregular_mowing,woody,4
ENV18_2,ENV18,irregular_mowing,other,11
ENV18_2,ENV18,irregular_mowing,all,38
ENV19_1,ENV19,irregular_mowing,endg,3
ENV19_1,ENV19,irregular_mowing,charact,13
ENV19_1,ENV19,irregular_mowing,exp,6
ENV19_1,ENV19,irregular_mowing,inv,1
ENV19_1,ENV19,irregular_mowing,woody,4
ENV19_1,ENV19,irregular_mowing,other,12
ENV19_1,ENV19,irregular_mowing,all,32
ENV19_2,ENV19,irregular_mowing,endg,4
ENV19_2,ENV19,irregular_mowing,charact,17
ENV19_2,ENV19,irregular_mowing,exp,5
ENV19_2,ENV19,irregular_mowing,inv,0
ENV19_2,ENV19,irregular_mowing,woody,3
ENV19_2,ENV19,irregular_mowing,other,14
ENV19_2,ENV19,irregular_mowing,all,36
ENV20_1,ENV20,irregular_mowing,endg,7
ENV20_1,ENV20,irregular_mowing,charact,28
ENV20_1,ENV20,irregular_mowing,exp,2
ENV20_1,ENV20,irregular_mowing,inv,1
ENV20_1,ENV20,irregular_mowing,woody,3
ENV20_1,ENV20,irregular_mowing,other,13
ENV20_1,ENV20,irregular_mowing,all,45
ENV22_1,ENV22,irregular_mowing,endg,7
ENV22_1,ENV22,irregular_mowing,charact,9
ENV22_1,ENV22,irregular_mowing,exp,2
ENV22_1,ENV22,irregular_mowing,inv,1
ENV22_1,ENV22,irregular_mowing,woody,4
ENV22_1,ENV22,irregular_mowing,other,10
ENV22_1,ENV22,irregular_mowing,all,27
ENV22_2,ENV22,regular_mowing,endg,9
ENV22_2,ENV22,regular_mowing,charact,18
ENV22_2,ENV22,regular_mowing,exp,2
ENV22_2,ENV22,regular_mowing,inv,1
ENV22_2,ENV22,regular_mowing,woody,2
ENV22_2,ENV22,regular_mowing,other,13
ENV22_2,ENV22,regular_mowing,all,37
ENV23_1,ENV23,irregular_mowing,endg,2
ENV23_1,ENV23,irregular_mowing,charact,16
ENV23_1,ENV23,irregular_mowing,exp,1
ENV23_1,ENV23,irregular_mowing,inv,1
ENV23_1,ENV23,irregular_mowing,woody,1
ENV23_1,ENV23,irregular_mowing,other,17
ENV23_1,ENV23,irregular_mowing,all,36
ENV23_2,ENV23,regular_mowing,endg,2
ENV23_2,ENV23,regular_mowing,charact,22
ENV23_2,ENV23,regular_mowing,exp,1
ENV23_2,ENV23,regular_mowing,inv,1
ENV23_2,ENV23,regular_mowing,woody,1
ENV23_2,ENV23,regular_mowing,other,18
ENV23_2,ENV23,regular_mowing,all,43
ENV25_1,ENV25,irregular_mowing,endg,1
ENV25_1,ENV25,irregular_mowing,charact,16
ENV25_1,ENV25,irregular_mowing,exp,3
ENV25_1,ENV25,irregular_mowing,inv,1
ENV25_1,ENV25,irregular_mowing,woody,2
ENV25_1,ENV25,irregular_mowing,other,17
ENV25_1,ENV25,irregular_mowing,all,38
ENV25_2,ENV25,regular_mowing,endg,2
ENV25_2,ENV25,regular_mowing,charact,23
ENV25_2,ENV25,regular_mowing,exp,3
ENV25_2,ENV25,regular_mowing,inv,1
ENV25_2,ENV25,regular_mowing,woody,2
ENV25_2,ENV25,regular_mowing,other,15
ENV25_2,ENV25,regular_mowing,all,41
ENV28_1,ENV28,regular_mowing,endg,8
ENV28_1,ENV28,regular_mowing,charact,33
ENV28_1,ENV28,regular_mowing,exp,1
ENV28_1,ENV28,regular_mowing,inv,1
ENV28_1,ENV28,regular_mowing,woody,2
ENV28_1,ENV28,regular_mowing,other,10
ENV28_1,ENV28,regular_mowing,all,48
ENV28_2,ENV28,irregular_mowing,endg,3
ENV28_2,ENV28,irregular_mowing,charact,32
ENV28_2,ENV28,irregular_mowing,exp,5
ENV28_2,ENV28,irregular_mowing,inv,1
ENV28_2,ENV28,irregular_mowing,woody,3
ENV28_2,ENV28,irregular_mowing,other,14
ENV28_2,ENV28,irregular_mowing,all,53
ENV30_1,ENV30,irregular_mowing,endg,4
ENV30_1,ENV30,irregular_mowing,charact,19
ENV30_1,ENV30,irregular_mowing,exp,4
ENV30_1,ENV30,irregular_mowing,inv,1
ENV30_1,ENV30,irregular_mowing,woody,2
ENV30_1,ENV30,irregular_mowing,other,12
ENV30_1,ENV30,irregular_mowing,all,36
ENV31_1,ENV31,irregular_mowing,endg,18
ENV31_1,ENV31,irregular_mowing,charact,36
ENV31_1,ENV31,irregular_mowing,exp,6
ENV31_1,ENV31,irregular_mowing,inv,1
ENV31_1,ENV31,irregular_mowing,woody,4
ENV31_1,ENV31,irregular_mowing,other,11
ENV31_1,ENV31,irregular_mowing,all,58
ENV32_1,ENV32,regular_mowing,endg,28
ENV32_1,ENV32,regular_mowing,charact,43
ENV32_1,ENV32,regular_mowing,exp,2
ENV32_1,ENV32,regular_mowing,inv,0
ENV32_1,ENV32,regular_mowing,woody,3
ENV32_1,ENV32,regular_mowing,other,12
ENV32_1,ENV32,regular_mowing,all,66
ENV32_2,ENV32,abandoned,endg,3
ENV32_2,ENV32,abandoned,charact,6
ENV32_2,ENV32,abandoned,exp,8
ENV32_2,ENV32,abandoned,inv,2
ENV32_2,ENV32,abandoned,woody,3
ENV32_2,ENV32,abandoned,other,19
ENV32_2,ENV32,abandoned,all,37
ENV34_1,ENV34,regular_mowing,endg,15
ENV34_1,ENV34,regular_mowing,charact,31
ENV34_1,ENV34,regular_mowing,exp,6
ENV34_1,ENV34,regular_mowing,inv,0
ENV34_1,ENV34,regular_mowing,woody,4
ENV34_1,ENV34,regular_mowing,other,21
ENV34_1,ENV34,regular_mowing,all,64
ENV34_2,ENV34,irregular_mowing,endg,13
ENV34_2,ENV34,irregular_mowing,charact,17
ENV34_2,ENV34,irregular_mowing,exp,4
ENV34_2,ENV34,irregular_mowing,inv,2
ENV34_2,ENV34,irregular_mowing,woody,5
ENV34_2,ENV34,irregular_mowing,other,13
ENV34_2,ENV34,irregular_mowing,all,43
ENV35_1,ENV35,irregular_mowing,endg,3
ENV35_1,ENV35,irregular_mowing,charact,25
ENV35_1,ENV35,irregular_mowing,exp,4
ENV35_1,ENV35,irregular_mowing,inv,2
ENV35_1,ENV35,irregular_mowing,woody,3
ENV35_1,ENV35,irregular_mowing,other,9
ENV35_1,ENV35,irregular_mowing,all,40
ENV35_2,ENV35,regular_mowing,endg,14
ENV35_2,ENV35,regular_mowing,charact,36
ENV35_2,ENV35,regular_mowing,exp,3
ENV35_2,ENV35,regular_mowing,inv,1
ENV35_2,ENV35,regular_mowing,woody,1
ENV35_2,ENV35,regular_mowing,other,11
ENV35_2,ENV35,regular_mowing,all,56
ENV36_1,ENV36,irregular_mowing,endg,13
ENV36_1,ENV36,irregular_mowing,charact,25
ENV36_1,ENV36,irregular_mowing,exp,4
ENV36_1,ENV36,irregular_mowing,inv,1
ENV36_1,ENV36,irregular_mowing,woody,2
ENV36_1,ENV36,irregular_mowing,other,8
ENV36_1,ENV36,irregular_mowing,all,41
ENV36_2,ENV36,regular_mowing,endg,21
ENV36_2,ENV36,regular_mowing,charact,41
ENV36_2,ENV36,regular_mowing,exp,3
ENV36_2,ENV36,regular_mowing,inv,2
ENV36_2,ENV36,regular_mowing,woody,4
ENV36_2,ENV36,regular_mowing,other,11
ENV36_2,ENV36,regular_mowing,all,65
ENV37_1,ENV37,irregular_mowing,endg,4
ENV37_1,ENV37,irregular_mowing,charact,27
ENV37_1,ENV37,irregular_mowing,exp,6
ENV37_1,ENV37,irregular_mowing,inv,1
ENV37_1,ENV37,irregular_mowing,woody,3
ENV37_1,ENV37,irregular_mowing,other,15
ENV37_1,ENV37,irregular_mowing,all,48
ENV37_2,ENV37,regular_mowing,endg,11
ENV37_2,ENV37,regular_mowing,charact,38
ENV37_2,ENV37,regular_mowing,exp,4
ENV37_2,ENV37,regular_mowing,inv,0
ENV37_2,ENV37,regular_mowing,woody,2
ENV37_2,ENV37,regular_mowing,other,11
ENV37_2,ENV37,regular_mowing,all,56
ENV38_1,ENV38,irregular_mowing,endg,6
ENV38_1,ENV38,irregular_mowing,charact,20
ENV38_1,ENV38,irregular_mowing,exp,2
ENV38_1,ENV38,irregular_mowing,inv,2
ENV38_1,ENV38,irregular_mowing,woody,1
ENV38_1,ENV38,irregular_mowing,other,4
ENV38_1,ENV38,irregular_mowing,all,28
ENV38_2,ENV38,abandoned,endg,16
ENV38_2,ENV38,abandoned,charact,45
ENV38_2,ENV38,abandoned,exp,4
ENV38_2,ENV38,abandoned,inv,3
ENV38_2,ENV38,abandoned,woody,5
ENV38_2,ENV38,abandoned,other,22
ENV38_2,ENV38,abandoned,all,79
ENV39_1,ENV39,abandoned,endg,2
ENV39_1,ENV39,abandoned,charact,14
ENV39_1,ENV39,abandoned,exp,8
ENV39_1,ENV39,abandoned,inv,2
ENV39_1,ENV39,abandoned,woody,6
ENV39_1,ENV39,abandoned,other,13
ENV39_1,ENV39,abandoned,all,37
ENV39_2,ENV39,regular_mowing,endg,15
ENV39_2,ENV39,regular_mowing,charact,28
ENV39_2,ENV39,regular_mowing,exp,8
ENV39_2,ENV39,regular_mowing,inv,1
ENV39_2,ENV39,regular_mowing,woody,6
ENV39_2,ENV39,regular_mowing,other,16
ENV39_2,ENV39,regular_mowing,all,57
ENV40_1,ENV40,regular_mowing,endg,16
ENV40_1,ENV40,regular_mowing,charact,26
ENV40_1,ENV40,regular_mowing,exp,4
ENV40_1,ENV40,regular_mowing,inv,2
ENV40_1,ENV40,regular_mowing,woody,4
ENV40_1,ENV40,regular_mowing,other,18
ENV40_1,ENV40,regular_mowing,all,59
ENV41_1,ENV40,abandoned,endg,1
ENV41_1,ENV40,abandoned,charact,13
ENV41_1,ENV40,abandoned,exp,7
ENV41_1,ENV40,abandoned,inv,1
ENV41_1,ENV40,abandoned,woody,5
ENV41_1,ENV40,abandoned,other,5
ENV41_1,ENV40,abandoned,all,26
ENV42_1,ENV42,irregular_mowing,endg,3
ENV42_1,ENV42,irregular_mowing,charact,11
ENV42_1,ENV42,irregular_mowing,exp,7
ENV42_1,ENV42,irregular_mowing,inv,2
ENV42_1,ENV42,irregular_mowing,woody,5
ENV42_1,ENV42,irregular_mowing,other,14
ENV42_1,ENV42,irregular_mowing,all,36
ENV42_2,ENV42,regular_mowing,endg,23
ENV42_2,ENV42,regular_mowing,charact,31
ENV42_2,ENV42,regular_mowing,exp,4
ENV42_2,ENV42,regular_mowing,inv,2
ENV42_2,ENV42,regular_mowing,woody,4
ENV42_2,ENV42,regular_mowing,other,16
ENV42_2,ENV42,regular_mowing,all,63
ENV43_1,ENV43,abandoned,endg,3
ENV43_1,ENV43,abandoned,charact,24
ENV43_1,ENV43,abandoned,exp,5
ENV43_1,ENV43,abandoned,inv,2
ENV43_1,ENV43,abandoned,woody,5
ENV43_1,ENV43,abandoned,other,13
ENV43_1,ENV43,abandoned,all,47
ENV44_1,ENV44,regular_mowing,endg,3
ENV44_1,ENV44,regular_mowing,charact,21
ENV44_1,ENV44,regular_mowing,exp,6
ENV44_1,ENV44,regular_mowing,inv,1
ENV44_1,ENV44,regular_mowing,woody,6
ENV44_1,ENV44,regular_mowing,other,18
ENV44_1,ENV44,regular_mowing,all,48
ENV44_2,ENV44,abandoned,endg,2
ENV44_2,ENV44,abandoned,charact,9
ENV44_2,ENV44,abandoned,exp,7
ENV44_2,ENV44,abandoned,inv,2
ENV44_2,ENV44,abandoned,woody,3
ENV44_2,ENV44,abandoned,other,20
ENV44_2,ENV44,abandoned,all,39
ENV45_1,ENV45,regular_mowing,endg,11
ENV45_1,ENV45,regular_mowing,charact,29
ENV45_1,ENV45,regular_mowing,exp,4
ENV45_1,ENV45,regular_mowing,inv,1
ENV45_1,ENV45,regular_mowing,woody,2
ENV45_1,ENV45,regular_mowing,other,12
ENV45_1,ENV45,regular_mowing,all,51
ENV45_2,ENV45,irregular_mowing,endg,2
ENV45_2,ENV45,irregular_mowing,charact,18
ENV45_2,ENV45,irregular_mowing,exp,3
ENV45_2,ENV45,irregular_mowing,inv,2
ENV45_2,ENV45,irregular_mowing,woody,3
ENV45_2,ENV45,irregular_mowing,other,15
ENV45_2,ENV45,irregular_mowing,all,41
ENV46_1,ENV46,abandoned,endg,15
ENV46_1,ENV46,abandoned,charact,34
ENV46_1,ENV46,abandoned,exp,4
ENV46_1,ENV46,abandoned,inv,1
ENV46_1,ENV46,abandoned,woody,7
ENV46_1,ENV46,abandoned,other,12
ENV46_1,ENV46,abandoned,all,55
ENV46_2,ENV46,irregular_mowing,endg,20
ENV46_2,ENV46,irregular_mowing,charact,43
ENV46_2,ENV46,irregular_mowing,exp,3
ENV46_2,ENV46,irregular_mowing,inv,0
ENV46_2,ENV46,irregular_mowing,woody,4
ENV46_2,ENV46,irregular_mowing,other,6
ENV46_2,ENV46,irregular_mowing,all,54
ENV47_1,ENV47,irregular_mowing,endg,4
ENV47_1,ENV47,irregular_mowing,charact,22
ENV47_1,ENV47,irregular_mowing,exp,4
ENV47_1,ENV47,irregular_mowing,inv,1
ENV47_1,ENV47,irregular_mowing,woody,5
ENV47_1,ENV47,irregular_mowing,other,9
ENV47_1,ENV47,irregular_mowing,all,38
ENV47_2,ENV47,regular_mowing,endg,6
ENV47_2,ENV47,regular_mowing,charact,31
ENV47_2,ENV47,regular_mowing,exp,6
ENV47_2,ENV47,regular_mowing,inv,0
ENV47_2,ENV47,regular_mowing,woody,5
ENV47_2,ENV47,regular_mowing,other,13
ENV47_2,ENV47,regular_mowing,all,50
ENV48_1,ENV48,abandoned,endg,7
ENV48_1,ENV48,abandoned,charact,27
ENV48_1,ENV48,abandoned,exp,8
ENV48_1,ENV48,abandoned,inv,1
ENV48_1,ENV48,abandoned,woody,8
ENV48_1,ENV48,abandoned,other,11
ENV48_1,ENV48,abandoned,all,49
ENV48_2,ENV48,regular_mowing,endg,12
ENV48_2,ENV48,regular_mowing,charact,39
ENV48_2,ENV48,regular_mowing,exp,5
ENV48_2,ENV48,regular_mowing,inv,0
ENV48_2,ENV48,regular_mowing,woody,5
ENV48_2,ENV48,regular_mowing,other,9
ENV48_2,ENV48,regular_mowing,all,56
ENV49_1,ENV49,regular_mowing,endg,13
ENV49_1,ENV49,regular_mowing,charact,34
ENV49_1,ENV49,regular_mowing,exp,3
ENV49_1,ENV49,regular_mowing,inv,1
ENV49_1,ENV49,regular_mowing,woody,5
ENV49_1,ENV49,regular_mowing,other,17
ENV49_1,ENV49,regular_mowing,all,58
ENV49_2,ENV49,irregular_mowing,endg,6
ENV49_2,ENV49,irregular_mowing,charact,23
ENV49_2,ENV49,irregular_mowing,exp,6
ENV49_2,ENV49,irregular_mowing,inv,1
ENV49_2,ENV49,irregular_mowing,woody,5
ENV49_2,ENV49,irregular_mowing,other,9
ENV49_2,ENV49,irregular_mowing,all,40
ENV50_1,ENV50,irregular_mowing,endg,8
ENV50_1,ENV50,irregular_mowing,charact,32
ENV50_1,ENV50,irregular_mowing,exp,6
ENV50_1,ENV50,irregular_mowing,inv,1
ENV50_1,ENV50,irregular_mowing,woody,4
ENV50_1,ENV50,irregular_mowing,other,11
ENV50_1,ENV50,irregular_mowing,all,49
ENV50_2,ENV50,abandoned,endg,2
ENV50_2,ENV50,abandoned,charact,16
ENV50_2,ENV50,abandoned,exp,9
ENV50_2,ENV50,abandoned,inv,2
ENV50_2,ENV50,abandoned,woody,7
ENV50_2,ENV50,abandoned,other,12
ENV50_2,ENV50,abandoned,all,39
ENV51_1,ENV51,abandoned,endg,2
ENV51_1,ENV51,abandoned,charact,20
ENV51_1,ENV51,abandoned,exp,5
ENV51_1,ENV51,abandoned,inv,2
ENV51_1,ENV51,abandoned,woody,3
ENV51_1,ENV51,abandoned,other,12
ENV51_1,ENV51,abandoned,all,39
ENV51_2,ENV51,regular_mowing,endg,11
ENV51_2,ENV51,regular_mowing,charact,35
ENV51_2,ENV51,regular_mowing,exp,3
ENV51_2,ENV51,regular_mowing,inv,1
ENV51_2,ENV51,regular_mowing,woody,3
ENV51_2,ENV51,regular_mowing,other,14
ENV51_2,ENV51,regular_mowing,all,55
